week_description,id_match,eq,possesions,poss_adj
Semana 4,103726,DGC,73.83719530544688,72.81221787541378
Semana 4,103727,BRE,68.34968402046344,68.03099608787241
Semana 4,103727,VBC,67.71230815528138,68.03099608787241
Semana 4,103728,BKN,77.61239843514896,77.14986458019862
Semana 4,103728,CAZ,76.68733072524827,77.14986458019862
Semana 4,103729,BAX,69.73728558531448,70.4560637977731
Semana 4,103729,ZPA,71.17484201023171,70.4560637977731
Semana 4,103730,RMB,85.73728558531448,83.73728558531448
Semana 4,103730,UCM,81.73728558531448,83.73728558531448
Semana 4,103732,JOV,81.78724044538068,81.54348480288895
Semana 4,103732,UNI,81.29972916039723,81.54348480288895
Semana 4,103751,GIR,79.34968402046344,78.31221787541378
Semana 4,103751,LNT,77.27475173036413,78.31221787541378
Semana 4,103752,MBA,77.78724044538068,78.04348480288895
Semana 4,103752,MOB,78.29972916039723,78.04348480288895
Semana 4,103753,COV,73.22479687029792,73.78724044538069
Semana 4,103753,SBB,74.34968402046344,73.78724044538069
Semana 4,103760,CAZ,78.32470659043034,77.32470659043034
Semana 4,103760,MOB,76.32470659043034,77.32470659043034
Semana 5,103717,BKN,80.71230815528138,79.23728558531448
Semana 5,103717,UNI,77.76226301534759,79.23728558531448
Semana 5,103718,CAZ,80.17484201023171,79.4810412278062
Semana 5,103718,COV,78.78724044538068,79.4810412278062
Semana 5,103719,BAX,80.27475173036413,78.27475173036413
Semana 5,103719,VBC,76.27475173036413,78.27475173036413
Semana 5,103720,LNT,73.09990972013242,73.71230815528138
Semana 5,103720,RMB,74.32470659043034,73.71230815528138
Semana 5,103721,BAR,79.17484201023171,78.40610893770689
Semana 5,103721,SBB,77.63737586518207,78.40610893770689
Semana 5,103722,DGC,79.68733072524827,77.9061089377069
Semana 5,103722,UCM,76.12488715016552,77.9061089377069
Semana 5,103723,GIR,81.37466145049655,81.82470659043034
Semana 5,103723,MOB,82.27475173036413,81.82470659043034
Semana 5,103724,JOV,75.17484201023171,74.72479687029792
Semana 5,103724,MBA,74.27475173036413,74.72479687029792
Semana 5,103725,BRE,70.66235329521517,70.94357508275655
Semana 5,103725,ZPA,71.22479687029792,70.94357508275655
Semana 6,103716,BRE,79.27475173036413,79.4810412278062
Semana 6,103716,UNI,79.68733072524827,79.4810412278062
Semana 6,103731,GIR,84.22479687029792,84.01850737285585
Semana 6,103731,UCM,83.81221787541378,84.01850737285585
Semana 6,103733,DGC,70.73728558531448,71.27475173036413
Semana 6,103733,MOB,71.81221787541378,71.27475173036413
Semana 6,103734,RMB,73.78724044538068,74.26226301534757
Semana 6,103734,ZPA,74.73728558531448,74.26226301534757
Semana 6,103746,BAR,69.27475173036413,70.51850737285585
Semana 6,103746,VBC,71.76226301534759,70.51850737285585
Semana 6,103747,BKN,75.22479687029792,75.19981944026482
Semana 6,103747,MBA,75.17484201023171,75.19981944026482
Semana 6,103748,LNT,78.32470659043034,78.3371953054469
Semana 6,103748,SBB,78.34968402046344,78.3371953054469
Semana 6,103749,BAX,81.32470659043034,83.34968402046344
Semana 6,103749,COV,85.37466145049655,83.34968402046344
Semana 6,103750,CAZ,80.68733072524827,82.23728558531448
Semana 6,103750,JOV,83.78724044538068,82.23728558531448
Semana 7,103737,JOV,71.86217273547999,72.13090580800481
Semana 7,103737,VBC,72.39963888052964,72.13090580800481
Semana 7,103738,BKN,74.24977430033103,74.77475173036413
Semana 7,103738,DGC,75.29972916039723,74.77475173036413
Semana 7,103739,BAR,69.07493229009931,70.6248871501655
Semana 7,103739,BRE,72.17484201023171,70.6248871501655
Semana 7,103740,BAX,81.29972916039723,80.23728558531448
Semana 7,103740,UCM,79.17484201023171,80.23728558531448
Semana 7,103741,COV,76.07493229009931,74.11239843514896
Semana 7,103741,RMB,72.14986458019861,74.11239843514896
Semana 7,103742,LNT,68.61239843514896,68.3561540776407
Semana 7,103742,MBA,68.09990972013242,68.3561540776407
Semana 7,103743,GIR,75.73728558531448,75.4810412278062
Semana 7,103743,ZPA,75.22479687029792,75.4810412278062
Semana 7,103744,CAZ,77.24977430033103,77.19981944026482
Semana 7,103744,SBB,77.14986458019861,77.19981944026482
Semana 7,103745,MOB,76.22479687029792,75.0559735179055
Semana 7,103745,UNI,73.88715016551309,75.0559735179055
Semana 8,103735,BAX,78.63737586518207,79.26226301534757
Semana 8,103735,MBA,79.88715016551309,79.26226301534757
Semana 8,103736,BRE,77.76226301534759,78.54348480288897
Semana 8,103736,JOV,79.32470659043034,78.54348480288897
Semana 8,103780,UCM,71.63737586518207,71.94357508275655
Semana 8,103780,ZPA,72.24977430033103,71.94357508275655
Semana 8,103791,GIR,82.22479687029792,83.79972916039723
Semana 8,103791,UNI,85.37466145049655,83.79972916039723
Semana 8,103792,COV,74.17484201023171,74.91859765272343
Semana 8,103792,DGC,75.66235329521517,74.91859765272343
Semana 8,103843,BAR,70.17484201023171,71.40610893770689
Semana 8,103843,LNT,72.63737586518207,71.40610893770689
Semana 8,103844,CAZ,76.86217273547999,76.49352994282276
Semana 8,103844,VBC,76.12488715016552,76.49352994282276
Semana 8,103845,RMB,78.88715016551309,78.33719530544688
Semana 8,103845,SBB,77.78724044538068,78.33719530544688
Semana 8,103857,BKN,96.19981944026482,97.31221787541378
Semana 8,103857,MOB,98.42461631056274,97.31221787541378
